tempo,swing,density,dynamic_range,energy,mean_note_length,std_note_length,velocity_mean,velocity_std,pitch_mean,pitch_range,avg_polyphony,syncopation,onset_entropy,instrument_count,mood,timing_feel,rhythmic_density,dynamic_intensity,fill_activity,fx_character,timestamp
126.0001,0.1061,5.4546,30.0000,3.3678,0.4320,0.3374,71.5357,10.7802,67.0482,53,1.8071,0.0340,1.4126,2,chill,2,2,0,6,0,2025-07-02T21:31:34.009921
140.0001,0.0000,9.3333,0.0000,3.7883,0.1071,0.0000,80.0000,0.0000,57.3594,45,0.5000,0.0000,1.5933,1,chill,0,2,0,6,0,2025-07-02T21:31:34.048369
68.5775,0.0000,1.8093,21.0000,2.1857,0.8016,0.7191,48.0732,2.9083,67.9122,50,1.6024,0.0875,0.9091,1,chill,1,0,0,6,0,2025-07-02T21:31:34.091910
102.0001,0.0007,24.3080,114.0000,8.8230,0.2719,0.9147,71.5821,32.7217,54.9734,74,7.1799,0.0059,0.8197,11,chill,0,3,0,6,0,2025-07-02T21:31:34.334579
140.0001,0.2500,5.7604,0.0000,3.6525,1.1392,1.1809,100.0000,0.0000,74.2152,52,4.9810,0.0472,1.6392,1,chill,2,2,0,6,0,2025-07-02T21:31:34.499880
126.0001,0.0522,60.6960,104.0000,16.6953,0.1554,0.2663,77.5038,19.8173,54.6572,60,11.2977,0.0023,0.3197,11,chill,1,3,0,6,0,2025-07-02T21:31:35.013609
60.6667,0.0052,13.5611,107.0000,6.8392,0.7810,1.0903,75.3500,18.9426,58.0715,60,10.9124,0.0139,0.5583,12,chill,1,3,0,6,0,2025-07-02T21:31:35.126054
132.0004,0.0232,6.6750,88.0000,4.6509,0.5646,0.5560,89.8976,18.6472,58.7865,69,2.4763,0.0398,1.0363,1,chill,1,2,0,6,0,2025-07-02T21:31:35.221993
134.0001,0.0289,21.2365,126.0000,8.4619,0.2333,0.5167,90.4917,21.0952,59.9521,69,5.8576,0.0073,0.4393,12,chill,0,3,0,6,0,2025-07-02T21:31:35.431444
139.6145,0.0190,13.4390,99.0000,6.3489,0.3114,0.2570,96.6683,20.4920,63.8053,77,3.2302,0.0132,0.8386,1,chill,1,3,0,6,0,2025-07-02T21:31:35.588070
139.6145,0.0190,13.4390,99.0000,6.3489,0.3114,0.2570,96.6683,20.4920,63.8053,77,3.2302,0.0132,0.8386,1,chill,1,3,0,6,0,2025-07-02T21:31:35.767112
104.2106,0.3224,6.2745,51.0000,3.9333,0.6259,0.7406,77.4535,8.8106,60.4376,84,2.4319,0.1444,0.2900,1,chill,2,2,0,6,0,2025-07-02T21:31:35.865841
126.0001,1.0000,16.8000,20.0000,5.9781,0.2381,0.0000,100.4688,2.8116,72.6172,24,2.0000,0.0105,0.8714,1,chill,1,3,0,4,0,2025-07-02T21:31:35.899520
124.0000,0.0141,41.9891,119.0000,12.8000,0.2120,0.2178,94.1993,22.2314,57.4064,48,6.4941,0.0038,0.5322,15,chill,0,3,0,6,0,2025-07-02T21:31:36.405732
123.0000,0.0367,25.0434,114.0000,9.0236,0.2757,0.2711,83.1598,25.5469,54.2759,51,6.0066,0.0056,0.6954,8,chill,1,3,0,6,0,2025-07-02T21:31:36.653896
138.0599,0.0594,1.2223,2.0000,2.3947,0.7110,0.6546,99.9020,0.6932,81.1765,12,0.8529,0.7748,1.2607,1,chill,1,0,0,2,0,2025-07-02T21:31:36.697851
145.0025,0.0234,25.8117,113.0000,8.9055,0.1824,0.2374,66.2777,20.0593,56.0250,70,5.2941,0.0047,0.6735,4,chill,0,3,0,6,0,2025-07-02T21:31:37.250820
120.0000,0.0018,39.0685,114.0000,11.9460,0.2310,0.4610,71.6746,21.1034,56.8799,51,7.6902,0.0029,0.5296,7,chill,0,3,0,6,0,2025-07-02T21:31:37.516609
106.0014,0.0340,23.2070,95.0000,8.3361,0.2161,0.1337,91.4148,23.3336,43.9130,68,4.0278,0.0085,0.1044,16,chill,1,3,0,6,0,2025-07-02T21:31:37.745369
68.0001,0.0819,3.4995,5.0000,2.5509,0.6682,0.5268,64.8523,1.8802,77.6250,46,1.7557,0.0390,1.3874,1,chill,1,1,0,6,0,2025-07-02T21:31:37.784507
91.6676,0.0605,24.8553,112.0000,8.8235,0.1763,0.3556,78.6992,17.1061,61.2156,89,5.0202,0.0058,0.9975,11,chill,1,3,0,6,0,2025-07-02T21:31:37.967367
240.0000,0.1372,7.5114,0.0000,3.6603,0.1478,0.0564,100.0000,0.0000,59.3765,17,0.5769,0.0036,1.0625,1,chill,1,2,0,3,0,2025-07-02T21:31:38.010028
89.2391,0.0048,8.4951,14.0000,3.6671,0.2039,0.1837,60.8390,5.6971,66.0416,55,1.8403,0.0227,0.9892,1,chill,1,2,0,6,0,2025-07-02T21:31:38.066204
132.9999,0.0458,10.5275,0.0000,4.3273,0.1671,0.0683,99.0000,0.0000,54.4056,47,1.1904,0.0067,1.4656,3,chill,1,3,0,6,0,2025-07-02T21:31:38.116683
89.9999,0.0080,3.8886,0.0000,2.8597,1.0909,1.1712,80.0000,0.0000,59.3806,65,3.0585,0.1483,0.7884,8,chill,1,1,0,6,0,2025-07-02T21:31:38.183079
88.1231,0.0542,31.4756,106.0000,10.8804,0.4097,0.9977,101.0895,26.9576,56.3261,82,10.8965,0.0065,0.0883,18,chill,1,3,0,6,0,2025-07-02T21:31:38.420835
154.9999,0.1174,24.0284,119.0000,8.7526,0.1407,0.2973,88.0153,20.5840,51.2277,53,3.7488,0.0049,0.6791,8,chill,1,3,0,6,0,2025-07-02T21:31:38.482880
103.9000,0.3257,36.4688,101.0000,11.4450,0.2153,0.4282,82.5474,20.4380,56.4078,85,8.6201,0.0061,0.4983,18,chill,1,3,0,6,0,2025-07-02T21:31:38.767869
165.0002,0.0233,8.1463,0.0000,3.5167,0.4135,0.3998,64.0000,0.0000,59.7674,41,2.6295,0.0191,1.2071,6,chill,1,2,0,6,0,2025-07-02T21:31:38.846918
74.0001,0.1228,12.2628,64.0000,5.7386,0.4677,0.9292,85.8243,13.4499,56.6656,53,5.9405,0.0248,0.7622,6,chill,2,3,0,6,0,2025-07-02T21:31:39.004070
68.5001,0.0097,13.9463,77.0000,6.4010,0.5107,0.4644,96.3512,16.3365,54.5831,67,6.1109,0.0150,0.7598,8,chill,1,3,0,6,0,2025-07-02T21:31:39.196010
89.8422,0.0858,16.3686,66.0000,6.9079,0.4508,0.4238,106.1405,10.3777,51.6195,67,6.3926,0.0094,1.0544,6,chill,1,3,0,6,0,2025-07-02T21:31:39.325931
132.7077,0.0967,7.9017,103.0000,4.7558,0.3398,0.5205,64.6530,15.7302,62.3833,65,2.0564,0.0738,0.1272,5,chill,1,2,0,6,0,2025-07-02T21:31:39.815918
138.2089,0.0470,10.0893,103.0000,5.2619,0.2719,0.3983,68.8192,19.9473,62.5671,72,2.0358,0.0445,0.0483,5,chill,1,3,0,6,0,2025-07-02T21:31:40.556359
124.0005,0.0388,9.6590,53.0000,4.5247,0.4815,0.1005,65.2297,16.2640,59.1261,24,2.5495,0.0439,0.8867,2,chill,1,2,0,4,0,2025-07-02T21:31:40.609465
120.0000,0.0238,35.0741,57.0000,10.5787,0.1087,0.0968,110.5083,14.7472,58.8064,48,4.2909,0.0043,0.5431,5,chill,0,3,0,6,0,2025-07-02T21:31:40.678202
55.0000,0.0118,12.0924,95.0000,5.7899,0.4979,0.9541,50.9119,16.1127,52.9885,71,7.3727,0.0244,0.1213,10,chill,1,3,0,6,0,2025-07-02T21:31:40.841316
114.0013,0.0232,37.9676,99.0000,11.9621,0.2322,0.4802,100.7373,20.9991,58.4366,65,8.6977,0.0031,0.6580,10,chill,0,3,0,6,0,2025-07-02T21:31:41.207744
140.1768,0.0021,14.3997,90.0000,6.3088,0.3761,0.3106,79.3875,12.5140,52.6192,49,4.3138,0.0119,1.0017,4,chill,1,3,0,6,0,2025-07-02T21:31:41.439722
200.0000,0.0580,17.7451,47.0000,6.7051,0.2507,0.2779,105.5436,11.4705,48.6096,40,3.4653,0.0149,0.0384,5,chill,1,3,0,6,0,2025-07-02T21:31:41.574248
118.9999,0.0350,10.8096,108.0000,6.1132,0.7574,0.7471,83.3900,10.4799,53.7966,67,7.6671,0.0143,1.2037,12,chill,1,3,0,6,0,2025-07-02T21:31:41.753691
120.0000,0.2955,2.4056,10.0000,2.8163,0.3690,0.2610,107.1362,4.5207,52.7840,23,0.6362,0.0974,1.4410,1,chill,2,1,0,4,0,2025-07-02T21:31:41.796486
163.1430,0.0958,33.1220,126.0000,10.7702,0.1283,0.2490,84.1758,26.2259,48.2817,48,4.6927,0.0037,0.7281,10,chill,1,3,0,6,0,2025-07-02T21:31:42.285520
